no. vuelo,charter,fecha,origen,destino,precio adulto,precio niño,precio infante,peso incluido,precio maleta,precio caja
WQ901,CHOICE AIRE,1/11/2016 9:15:00,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,01/13/16 12:00,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,01/15/16 10:15,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,01/18/16 09:15,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,01/20/16 12:00,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,01/22/16 10:15,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,01/25/16 09:15,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,01/27/16 12:00,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,01/29/16 10:15,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
,,,,,,,,,,
WQ902,CHOICE AIRE,10/28/15 20:00,HAVANA (HAV),MIAMI (MIA),$339.00,$339.00,125,47 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,11/2/2015 16:30:00,HAVANA (HAV),MIAMI (MIA),$349.00,$349.00,125,48 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,11/4/2015 20:00:00,HAVANA (HAV),MIAMI (MIA),$349.00,$349.00,125,49 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,11/6/2015 17:30:00,HAVANA (HAV),MIAMI (MIA),$349.00,$349.00,125,50 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,11/9/2015 16:30:00,HAVANA (HAV),MIAMI (MIA),$349.00,$349.00,125,51 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,11/11/2015 20:00:00,HAVANA (HAV),MIAMI (MIA),$349.00,$349.00,125,52 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,11/13/15 17:30,HAVANA (HAV),MIAMI (MIA),$349.00,$349.00,125,53 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,11/16/15 16:30,HAVANA (HAV),MIAMI (MIA),$349.00,$349.00,125,54 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,11/18/15 20:00,HAVANA (HAV),MIAMI (MIA),$349.00,$349.00,125,55 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,11/20/15 17:30,HAVANA (HAV),MIAMI (MIA),$349.00,$349.00,125,56 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ902,CHOICE AIRE,11/23/15 16:30,HAVANA (HAV),MIAMI (MIA),$349.00,$349.00,125,57 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
